číslo VTA;kraj;okres;obec;část obce;ulice;upřesnění umístění
387228010;Jihočeský;České Budějovice;Adamov;Adamov;Dělnická;prodejna smíšené zboží
385737109;Jihočeský;České Budějovice;Bečice;Bečice;;náves u kapličky
387225134;Jihočeský;České Budějovice;Borek;Borek;Pražská;u obecního úřadu
387250256;Jihočeský;České Budějovice;Boršov nad Vltavou;Boršov nad Vltavou;;náves, reklamní zeď
387986212;Jihočeský;České Budějovice;Bošilec;Bošilec;;u požární zbrojnice
385513970;Jihočeský;České Budějovice;Branišov;Branišov;;náves
387982198;Jihočeský;České Budějovice;Čakov;Čakov;;u obecního úřadu
387983042;Jihočeský;České Budějovice;Čejkovice;Čejkovice;;náves
386321503;Jihočeský;České Budějovice;Čížkrajice;Čížkrajice;;u požární zbrojnice
387965021;Jihočeský;České Budějovice;Dasný;Dasný;;náves, u zastávky ČSAD
387999166;Jihočeský;České Budějovice;Dívčice;Dívčice;;u vlakového nádraží
385737111;Jihočeský;České Budějovice;Dobšice;Dobšice;;náves, u obecního úřadu
385726100;Jihočeský;České Budějovice;Dolní Bukovsko;Dolní Bukovsko;nám. Jiráskovo;u obecního úřadu
387240141;Jihočeský;České Budějovice;Doubravice;Doubravice;;náves, u obchodu
387988548;Jihočeský;České Budějovice;Doudleby;Straňany;;u hospody
387997400;Jihočeský;České Budějovice;Drahotěšice;Drahotěšice;;u obecního úřadu, náves
382588027;Jihočeský;České Budějovice;Dražíč;Dražíč;;na prodejně náves
387991119;Jihočeský;České Budějovice;Dříteň;Dříteň;;náves
387228009;Jihočeský;České Budějovice;Dubičné;Dubičné;;náves
387992021;Jihočeský;České Budějovice;Dubné;Dubné;;náves, u pošty
387986829;Jihočeský;České Budějovice;Dynín;Dynín;;u obchodu
387992192;Jihočeský;České Budějovice;Habří;Habří;;náves,u obecního úřadu
385726370;Jihočeský;České Budějovice;Hartmanice;Hartmanice;;u obecního úřadu,náves
387988596;Jihočeský;České Budějovice;Heřmaň;Heřmaň;;u obchodu,u obecního úřadu
387983179;Jihočeský;České Budějovice;Hlavatce;Hlavatce;;náves, ID ROP = 3929233
387228015;Jihočeský;České Budějovice;Hlincová Hora;Hlincová Hora;;náves, u hlavní silnice
387250660;Jihočeský;České Budějovice;Homole;Nové Homole;;náves, u zastávky ČSAD
385737112;Jihočeský;České Budějovice;Horní Kněžeklady;Horní Kněžeklady;;u obecního úřadu , náves
386327109;Jihočeský;České Budějovice;Horní Stropnice;Horní Stropnice;;autobusové nádraží  419524
387221981;Jihočeský;České Budějovice;Hosín;Hosín;;náves
385731521;Jihočeský;České Budějovice;Hosty;Hosty;;u obchodu
386362713;Jihočeský;České Budějovice;Hranice;Hranice;;Hranice u Nových Hradů, u zastávky ČSAD
387220245;Jihočeský;České Budějovice;Hrdějovice;Hrdějovice;Těšínská;u křižovatky
387228014;Jihočeský;České Budějovice;Hůry;Hůry;Adamovská;u zastávky ČSAD, náves
387997322;Jihočeský;České Budějovice;Chotýčany;Chotýčany;; u pošty
385727120;Jihočeský;České Budějovice;Chrášťany;Chrášťany;;náves
387982162;Jihočeský;České Budějovice;Jankov;Jankov;;náves - u obecního úřadu
386325041;Jihočeský;České Budějovice;Jílovice;Šalmanovice;;náves, u zastávky ČSAD
387228018;Jihočeský;České Budějovice;Jivno;Jivno;;Před obecním úřadem - stojan
386323169;Jihočeský;České Budějovice;Kamenná;Kamenná;;u obecního úřadu
387996915;Jihočeský;České Budějovice;Komařice;Komařice;;u obecního úřadu
387222489;Jihočeský;České Budějovice;Kvítkovice;Kvítkovice;;Vedle autobusové zastávky
387984828;Jihočeský;České Budějovice;Libín;Libín;;náves, u obecního úřadu
387228016;Jihočeský;České Budějovice;Libníč;Libníč;;náves
387992112;Jihočeský;České Budějovice;Lipí;Lipí;;u bytovek
387962117;Jihočeský;České Budějovice;Ločenice;Ločenice;;náves
387997178;Jihočeský;České Budějovice;Mazelov;Mazelov;; u obchodu
387981629;Jihočeský;České Budějovice;Mladošovice;Mladošovice;;u obecního úřadu
387985637;Jihočeský;České Budějovice;Mydlovary;Mydlovary;;náves u obecního úřadu
387991308;Jihočeský;České Budějovice;Nákří;Nákří;;náves, u zastávky ČSAD
387240124;Jihočeský;České Budějovice;Nedabyle;Nedabyle;;u obecního úřadu
387986463;Jihočeský;České Budějovice;Neplachov;Neplachov;;u obchodu
387240812;Jihočeský;České Budějovice;Nová Ves;Nová Ves;;u vlakového nádraží
386324715;Jihočeský;České Budějovice;Olešnice;Olešnice;;u obchodu
387985639;Jihočeský;České Budějovice;Olešník;Olešník;;náves, u OÚ
386321490;Jihočeský;České Budějovice;Ostrolovský Újezd;Ostrolovský Újezd;;náves, u obecního úřadu
386325119;Jihočeský;České Budějovice;Petříkov;Petříkov;;náves, u obchodu č.p. 81
387983916;Jihočeský;České Budějovice;Pištín;Pištín;;náves
387203493;Jihočeský;České Budějovice;Planá;Planá;;parkoviště u vojenského útvaru
387988966;Jihočeský;České Budějovice;Plav;Plav;;u obecního úřadu č.p. 57
387983048;Jihočeský;České Budějovice;Radošovice;Radošovice;;náves
386460070;Jihočeský;České Budějovice;Roudné;Roudné;;na zdi obecního úřadu,vpravo od hlavního vchodu
387987307;Jihočeský;České Budějovice;Římov;Římov;;u obecního úřadu, u zastávky ČSAD
387983915;Jihočeský;České Budějovice;Sedlec;Sedlec;;náves
386323117;Jihočeský;České Budějovice;Slavče;Slavče;;náves, u zastávky
387200179;Jihočeský;České Budějovice;Srubec;Srubec;;prodejna
387240393;Jihočeský;České Budějovice;Staré Hodějovice;Staré Hodějovice;Na Návsi;u prodejny
387996060;Jihočeský;České Budějovice;Strážkovice;Strážkovice;;náves, u obecního úřadu
387982012;Jihočeský;České Budějovice;Strýčice;Strýčice;;
387988546;Jihočeský;České Budějovice;Střížov;Střížov;;náves, u obecního úřadu
387962234;Jihočeský;České Budějovice;Svatý Jan nad Malší;Svatý Jan nad Malší;;náves,u obchodu
387997172;Jihočeský;České Budějovice;Ševětín;Ševětín;Zahradní;
387984905;Jihočeský;České Budějovice;Štěpánovice;Štěpánovice;Třeboňská;náves, u hlavní silnice, u motorestu
385734350;Jihočeský;České Budějovice;Temelín;Temelín;;směr Protivín -  u rybníka
387225019;Jihočeský;České Budějovice;Úsilné;Úsilné;;náves
387250530;Jihočeský;České Budějovice;Včelná;Včelná;Nádražní;u restaurace u Kaštanu
386467143;Jihočeský;České Budějovice;Vidov;Vidov;;náves
387997423;Jihočeský;České Budějovice;Vitín;Vitín;;před obecním úřadem
387250224;Jihočeský;České Budějovice;Vrábče;Vrábče;;u vlakové zastávky
387311981;Jihočeský;České Budějovice;Vráto;Vráto;;u prodejny
385724081;Jihočeský;České Budějovice;Všemyslice;Neznašov;;náves
387982144;Jihočeský;České Budějovice;Záboří;Záboří;;náves
387985025;Jihočeský;České Budějovice;Zahájí;Zahájí;;náves, u obecního úřadu
387994649;Jihočeský;České Budějovice;Zvíkov;Zvíkov;;náves, u zastávky ČSAD
387992198;Jihočeský;České Budějovice;Žabovřesky;Žabovřesky;;náves
386362481;Jihočeský;České Budějovice;Žár;Žár;;náves
385737047;Jihočeský;České Budějovice;Žimutice;Žimutice;;u základní školy
380322260;Jihočeský;Český Krumlov;Benešov nad Černou;Benešov nad Černou;;náměstí
380323160;Jihočeský;Český Krumlov;Besednice;Besednice;Hlinice;u nákupního střediska Jednota, náves
380737335;Jihočeský;Český Krumlov;Bohdalovice;Slavkov;;náves, u kostela
380737234;Jihočeský;Český Krumlov;Boletice;Boletice;;Polná na Šumavě, na budově obchodu 
380745103;Jihočeský;Český Krumlov;Brloh;Brloh;;náves
380327095;Jihočeský;Český Krumlov;Bujanov;Bujanov;;u obecního úřadu
380744220;Jihočeský;Český Krumlov;Černá v Pošumaví;Černá v Pošumaví;;u pošty
380324280;Jihočeský;Český Krumlov;Dolní Dvořiště;Dolní Dvořiště;;náměstí
380743792;Jihočeský;Český Krumlov;Dolní Třebonín;Dolní Třebonín;;u obecního úřadu, u pošty
380735298;Jihočeský;Český Krumlov;Frymburk;Frymburk;;u lékárny I
380741834;Jihočeský;Český Krumlov;Holubov;Holubov;;náves, u obchodu
380747001;Jihočeský;Český Krumlov;Horní Dvořiště;Horní Dvořiště;;náves, u pošty
380737196;Jihočeský;Český Krumlov;Hořice na Šumavě;Hořice na Šumavě;;náves, u kašny
380739224;Jihočeský;Český Krumlov;Chvalšiny;Chvalšiny;;náměstí
380731399;Jihočeský;Český Krumlov;Kájov;Kájov;;náves- u pošty
380736049;Jihočeský;Český Krumlov;Lipno nad Vltavou;Lipno nad Vltavou;;MARINA LIPNO, u trafostanice, u budovy D12
380748129;Jihočeský;Český Krumlov;Loučovice;Loučovice;;sídliště, u obchodu
380325160;Jihočeský;Český Krumlov;Malonty;Malonty;;u pošty
380749726;Jihočeský;Český Krumlov;Malšín;Malšín;;náves
380711148;Jihočeský;Český Krumlov;Mirkovice;Mirkovice;;náves
380743892;Jihočeský;Český Krumlov;Mojné;Mojné;;u  obecnímu úřadu
380321256;Jihočeský;Český Krumlov;Netřebice;Netřebice;;u hlavní silnice, u obchodu
380745100;Jihočeský;Český Krumlov;Nová Ves;Nová Ves;;náves u zastávky ČSAD
380311237;Jihočeský;Český Krumlov;Omlenice;Omlenička;;náves
380326007;Jihočeský;Český Krumlov;Pohorská Ves;Pohorská Ves;;u bytovky, u hlavní silnice
380735408;Jihočeský;Český Krumlov;Přední Výtoň;Přední Výtoň;;náves, u obchodu
380734001;Jihočeský;Český Krumlov;Přídolí;Přídolí;;u obchodu
380726468;Jihočeský;Český Krumlov;Přísečná;Přísečná;;náves, u obchodu
380749848;Jihočeský;Český Krumlov;Rožmberk nad Vltavou;Rožmberk nad Vltavou;;náměstí, budova Obecního úřadu
380327165;Jihočeský;Český Krumlov;Rožmitál na Šumavě;Rožmitál na Šumavě;;náves
380323360;Jihočeský;Český Krumlov;Soběnov;Soběnov;;náves
380743337;Jihočeský;Český Krumlov;Srnín;Srnín;;náves
380321156;Jihočeský;Český Krumlov;Střítež;Kaplice-nádraží;;u vlakového nádraží ČD
380737297;Jihočeský;Český Krumlov;Světlík;Světlík;;náves
380743789;Jihočeský;Český Krumlov;Zlatá Koruna;Rájov;;náves
380332480;Jihočeský;Český Krumlov;Zubčice;Zubčice;;náves, u OÚ
384497021;Jihočeský;Jindřichův Hradec;Báňovice;Báňovice;;u OÚ
384396480;Jihočeský;Jindřichův Hradec;Bednárec;Bednárec;;u hl.silnice
384397752;Jihočeský;Jindřichův Hradec;Bednáreček;Bednáreček;;u obecního úřadu
384397191;Jihočeský;Jindřichův Hradec;Blažejov;Blažejov;;u obchodu
384397557;Jihočeský;Jindřichův Hradec;Bořetín;Bořetín;;levý bok čekárny ČSAD
384384490;Jihočeský;Jindřichův Hradec;Březina;Březina;;před OÚ
384495321;Jihočeský;Jindřichův Hradec;Budeč;Budeč;;u obecního úřadu
384495124;Jihočeský;Jindřichův Hradec;Budíškovice;Budíškovice;;obecní úřad
384781691;Jihočeský;Jindřichův Hradec;Cep;Cep;;náves
384493396;Jihočeský;Jindřichův Hradec;Cizkrajov;Cizkrajov;;u zastávky ČAD
567318717;Jihočeský;Jindřichův Hradec;Červený Hrádek;Červený Hrádek;;obec zastávka ČSAD
384496184;Jihočeský;Jindřichův Hradec;Český Rudolec;Český Rudolec;;u prodejny Jednoty
384388800;Jihočeský;Jindřichův Hradec;Číměř;Číměř;;u prodejny potravin
384399018;Jihočeský;Jindřichův Hradec;Člunek;Lomy;;u prodejny
384498134;Jihočeský;Jindřichův Hradec;Dešná;Dešná;;za Jednotou
384384298;Jihočeský;Jindřichův Hradec;Deštná;Deštná;nám. Míru;náměstí
384388090;Jihočeský;Jindřichův Hradec;Dolní Pěna;Dolní Pěna;;před OÚ
384721884;Jihočeský;Jindřichův Hradec;Domanín;Domanín;;u rybníčku
384382197;Jihočeský;Jindřichův Hradec;Doňov;Doňov;;hlavní vchod do OÚ
384721903;Jihočeský;Jindřichův Hradec;Dunajovice;Dunajovice;;náves
384784000;Jihočeský;Jindřichův Hradec;Dvory nad Lužnicí;Dvory nad Lužnicí;;u OÚ
384792275;Jihočeský;Jindřichův Hradec;Frahelž;Frahelž;;u obecního úřadu
384785096;Jihočeský;Jindřichův Hradec;Halámky;Halámky;;u prodejny
384797597;Jihočeský;Jindřichův Hradec;Hamr;Hamr;;náves
384490210;Jihočeský;Jindřichův Hradec;Heřmaneč;Heřmaneč;;Obecní úřad
